BinCenter;Histo01;Histo02;Histo03;Histo04
63152.5;1549;7;7;0
63165.5;1655;7;7;0
63178.5;1731;8;8;0
63191.5;1839;5;5;0
63204.5;1818;7;7;0
63217.5;1869;8;8;0
63230.5;1806;7;7;0
63243.5;1752;10;10;0
63256.5;1626;10;10;0
63269.5;1630;11;11;0
63282.5;1522;5;5;0
63295.5;1486;10;10;0
63308.5;1252;9;9;0
63321.5;1244;7;7;0
63334.5;1014;9;9;0
63347.5;963;10;10;0
63360.5;890;6;6;0
63373.5;796;7;7;0
63386.5;737;6;6;0
63399.5;609;8;8;0
63412.5;565;3;3;0
63425.5;525;7;7;0
63438.5;457;6;6;0
63451.5;421;5;5;0
63464.5;359;5;5;0
63477.5;315;9;9;0
63490.5;312;10;10;0
63503.5;263;10;10;0
63516.5;259;12;12;0
63529.5;233;6;6;0
63542.5;185;12;12;0
63555.5;195;7;7;0
63568.5;155;7;7;0
63581.5;167;11;11;0
63594.5;151;9;9;0
63607.5;134;11;11;0
63620.5;126;9;9;0
63633.5;115;5;5;0
63646.5;101;10;10;0
63659.5;91;3;3;0
63672.5;85;11;11;0
63685.5;70;8;8;0
63698.5;78;8;8;0
63711.5;84;9;9;0
63724.5;66;9;9;0
63737.5;77;8;8;0
63750.5;51;12;12;0
63763.5;54;5;5;0
63776.5;63;8;8;0
63789.5;55;7;7;0
63802.5;39;9;9;0
63815.5;48;7;7;0
63828.5;33;6;6;0
63841.5;32;10;10;0
63854.5;31;10;10;0
63867.5;31;9;9;0
63880.5;33;14;14;0
63893.5;37;10;10;0
63906.5;32;10;10;0
63919.5;43;14;14;0
63932.5;30;10;10;0
63945.5;30;12;12;0
63958.5;35;14;14;0
63971.5;25;13;13;0
63984.5;32;12;12;0
63997.5;28;9;9;0
64010.5;32;20;20;0
64023.5;30;18;18;0
64036.5;30;25;25;0
64049.5;26;17;17;0
64062.5;37;18;18;0
64075.5;27;16;16;0
64088.5;34;28;28;0
64101.5;33;23;23;0
64114.5;23;27;27;0
64127.5;25;35;35;0
64140.5;19;37;37;0
64153.5;24;35;35;0
64166.5;25;31;31;0
64179.5;25;37;37;0
64192.5;34;36;36;0
64205.5;22;48;48;0
64218.5;19;35;35;0
64231.5;20;42;42;0
64244.5;23;34;34;0
64257.5;17;43;43;0
64270.5;26;35;35;0
64283.5;32;39;39;0
64296.5;21;48;48;0
64309.5;20;38;38;0
64322.5;24;38;38;0
64335.5;24;30;30;0
64348.5;23;38;38;0
64361.5;28;50;50;0
64374.5;23;35;35;0
64387.5;22;40;40;0
64400.5;19;45;45;0
64413.5;23;44;44;0
64426.5;24;62;62;0
64439.5;20;53;53;0
64452.5;34;74;74;0
64465.5;21;117;117;0
64478.5;17;132;132;0
64491.5;16;241;241;0
64504.5;29;410;410;0
64517.5;20;729;729;0
64530.5;27;1136;1136;0
64543.5;26;1860;1860;0
