BinCenter;Histo01;Histo02;Histo03;Histo04
70006.5;12;12;0;0
70019.5;9;9;0;0
70032.5;13;13;0;0
70045.5;10;10;0;0
70058.5;11;11;0;0
70071.5;7;7;0;0
70084.5;15;15;0;0
70097.5;13;13;0;0
70110.5;16;16;0;0
70123.5;13;13;0;0
70136.5;8;8;0;0
70149.5;11;11;0;0
70162.5;9;9;0;0
70175.5;5;5;0;0
70188.5;9;9;0;0
70201.5;11;11;0;0
70214.5;10;10;0;0
70227.5;10;10;0;0
70240.5;13;13;0;0
70253.5;6;6;0;0
70266.5;9;9;0;0
70279.5;11;11;0;0
70292.5;12;12;0;0
70305.5;8;8;0;0
70318.5;4;4;0;0
70331.5;8;8;0;0
70344.5;7;7;0;0
70357.5;7;7;0;0
70370.5;11;11;0;0
70383.5;6;6;0;0
70396.5;12;12;0;0
70409.5;11;11;0;0
70422.5;7;7;0;0
70435.5;13;13;0;0
70448.5;9;9;0;0
70461.5;7;7;0;0
70474.5;13;13;0;0
70487.5;8;8;0;0
70500.5;9;9;0;0
70513.5;12;12;0;0
70526.5;17;17;0;0
70539.5;9;9;0;0
70552.5;8;8;0;0
70565.5;15;15;0;0
70578.5;8;8;0;0
70591.5;4;4;0;0
70604.5;13;13;0;0
70617.5;9;9;0;0
70630.5;14;14;0;0
70643.5;10;10;0;0
70656.5;8;8;0;0
70669.5;12;12;0;0
70682.5;9;9;0;0
70695.5;7;7;0;0
70708.5;11;11;0;0
70721.5;7;7;0;0
70734.5;7;7;0;0
70747.5;6;6;0;0
70760.5;12;12;0;0
70773.5;16;16;0;0
70786.5;5;5;0;0
70799.5;5;5;0;0
70812.5;9;9;0;0
70825.5;11;11;0;0
70838.5;8;8;0;0
70851.5;11;11;0;0
70864.5;13;13;0;0
70877.5;8;8;0;0
70890.5;7;7;0;0
70903.5;8;8;0;0
70916.5;11;11;0;0
70929.5;10;10;0;0
70942.5;9;9;0;0
70955.5;7;7;0;0
70968.5;9;9;0;0
70981.5;11;11;0;0
70994.5;12;12;0;0
71007.5;10;10;0;0
71020.5;13;13;0;0
71033.5;12;12;0;0
71046.5;15;15;0;0
71059.5;15;15;0;0
71072.5;12;12;0;0
71085.5;13;13;0;0
71098.5;9;9;0;0
71111.5;7;7;0;0
71124.5;9;9;0;0
71137.5;6;6;0;0
71150.5;5;5;0;0
71163.5;11;11;0;0
71176.5;14;14;0;0
71189.5;9;9;0;0
71202.5;10;10;0;0
71215.5;10;10;0;0
71228.5;6;6;0;0
71241.5;13;13;0;0
71254.5;6;6;0;0
71267.5;10;10;0;0
71280.5;6;6;0;0
71293.5;12;12;0;0
71306.5;7;7;0;0
71319.5;9;9;0;0
71332.5;5;5;0;0
71345.5;8;8;0;0
71358.5;12;12;0;0
71371.5;9;9;0;0
71384.5;14;14;0;0
71397.5;11;11;0;0
71410.5;10;10;0;0
71423.5;8;8;0;0
71436.5;10;10;0;0
71449.5;6;6;0;0
71462.5;11;11;0;0
71475.5;15;15;0;0
71488.5;9;9;0;0
71501.5;15;15;0;0
71514.5;10;10;0;0
71527.5;10;10;0;0
71540.5;11;11;0;0
71553.5;15;15;0;0
71566.5;8;8;0;0
71579.5;14;14;0;0
71592.5;10;10;0;0
71605.5;6;6;0;0
71618.5;12;12;0;0
71631.5;10;10;0;0
71644.5;7;7;0;0
71657.5;16;16;0;0
71670.5;10;10;0;0
71683.5;7;7;0;0
71696.5;8;8;0;0
71709.5;5;5;0;0
71722.5;9;9;0;0
71735.5;8;8;0;0
71748.5;11;11;0;0
71761.5;11;11;0;0
71774.5;15;15;0;0
71787.5;10;10;0;0
71800.5;10;10;0;0
71813.5;9;9;0;0
71826.5;4;4;0;0
71839.5;13;13;0;0
71852.5;4;4;0;0
71865.5;13;13;0;0
71878.5;13;13;0;0
71891.5;14;14;0;0
71904.5;9;9;0;0
71917.5;11;11;0;0
71930.5;5;5;0;0
71943.5;12;12;0;0
71956.5;11;11;0;0
71969.5;11;11;0;0
71982.5;13;13;0;0
71995.5;14;14;0;0
72008.5;14;14;0;0
72021.5;10;10;0;0
72034.5;17;17;0;0
72047.5;6;6;0;0
72060.5;7;7;0;0
72073.5;7;7;0;0
72086.5;17;17;0;0
72099.5;7;7;0;0
72112.5;15;15;0;0
72125.5;4;4;0;0
72138.5;10;10;0;0
72151.5;8;8;0;0
72164.5;10;10;0;0
72177.5;6;6;0;0
72190.5;6;6;0;0
72203.5;7;7;0;0
72216.5;10;10;0;0
72229.5;7;7;0;0
72242.5;9;9;0;0
72255.5;7;7;0;0
72268.5;7;7;0;0
72281.5;9;9;0;0
72294.5;8;8;0;0
72307.5;6;6;0;0
72320.5;9;9;0;0
72333.5;7;7;0;0
72346.5;10;10;0;0
72359.5;6;6;0;0
72372.5;16;16;0;0
72385.5;12;12;0;0
72398.5;10;10;0;0
72411.5;7;7;0;0
72424.5;12;12;0;0
72437.5;7;7;0;0
72450.5;6;6;0;0
72463.5;12;12;0;0
72476.5;17;17;0;0
72489.5;15;15;0;0
72502.5;11;11;0;0
72515.5;9;9;0;0
72528.5;9;9;0;0
72541.5;15;15;0;0
72554.5;21;21;0;0
72567.5;16;16;0;0
72580.5;10;10;0;0
72593.5;7;7;0;0
72606.5;16;16;0;0
72619.5;16;16;0;0
72632.5;7;7;0;0
72645.5;8;8;0;0
72658.5;9;9;0;0
72671.5;10;10;0;0
72684.5;10;10;0;0
72697.5;12;12;0;0
72710.5;16;16;0;0
72723.5;6;6;0;0
72736.5;11;11;0;0
72749.5;14;14;0;0
72762.5;11;11;0;0
72775.5;7;7;0;0
72788.5;10;10;0;0
72801.5;4;4;0;0
72814.5;15;15;0;0
72827.5;10;10;0;0
72840.5;7;7;0;0
72853.5;11;11;0;0
72866.5;13;13;0;0
72879.5;8;8;0;0
72892.5;14;14;0;0
72905.5;10;10;0;0
72918.5;13;13;0;0
72931.5;5;5;0;0
72944.5;10;10;0;0
72957.5;13;13;0;0
72970.5;7;7;0;0
72983.5;9;9;0;0
72996.5;13;13;0;0
73009.5;11;11;0;0
73022.5;8;8;0;0
73035.5;11;11;0;0
73048.5;7;7;0;0
73061.5;6;6;0;0
73074.5;10;10;0;0
73087.5;9;9;0;0
73100.5;12;12;0;0
73113.5;4;4;0;0
73126.5;15;15;0;0
73139.5;13;13;0;0
73152.5;14;14;0;0
73165.5;8;8;0;0
73178.5;9;9;0;0
73191.5;15;15;0;0
73204.5;16;16;0;0
73217.5;12;12;0;0
73230.5;6;6;0;0
73243.5;10;10;0;0
73256.5;5;5;0;0
73269.5;9;9;0;0
73282.5;9;9;0;0
73295.5;15;15;0;0
73308.5;7;7;0;0
73321.5;5;5;0;0
73334.5;7;7;0;0
73347.5;15;15;0;0
73360.5;16;16;0;0
73373.5;14;14;0;0
73386.5;11;11;0;0
73399.5;9;9;0;0
73412.5;7;7;0;0
73425.5;7;7;0;0
73438.5;10;10;0;0
73451.5;11;11;0;0
73464.5;10;10;0;0
73477.5;8;8;0;0
73490.5;11;11;0;0
73503.5;9;9;0;0
73516.5;10;10;0;0
73529.5;9;9;0;0
