BinCenter;Histo01;Histo02;Histo03;Histo04
70006.5;0;0;0;0
70019.5;0;1;1;0
70032.5;0;3;3;0
70045.5;0;2;2;0
70058.5;0;1;1;0
70071.5;1;0;0;0
70084.5;2;0;0;0
70097.5;3;0;0;0
70110.5;1;1;1;0
70123.5;0;0;0;0
70136.5;0;0;0;0
70149.5;0;1;1;0
70162.5;2;0;0;0
70175.5;1;1;1;0
70188.5;0;1;1;0
70201.5;0;0;0;0
70214.5;0;2;2;0
70227.5;2;0;0;0
70240.5;0;0;0;0
70253.5;0;1;1;0
70266.5;0;0;0;0
70279.5;0;1;1;0
70292.5;1;1;1;0
70305.5;0;2;2;0
70318.5;0;0;0;0
70331.5;0;0;0;0
70344.5;0;0;0;0
70357.5;2;0;0;0
70370.5;0;1;1;0
70383.5;1;1;1;0
70396.5;0;0;0;0
70409.5;0;0;0;0
70422.5;0;1;1;0
70435.5;1;1;1;0
70448.5;0;1;1;0
70461.5;0;2;2;0
70474.5;0;0;0;0
70487.5;1;1;1;0
70500.5;0;2;2;0
70513.5;0;1;1;0
70526.5;2;0;0;0
70539.5;0;0;0;0
70552.5;0;2;2;0
70565.5;1;1;1;0
70578.5;0;0;0;0
70591.5;0;2;2;0
70604.5;0;0;0;0
70617.5;0;0;0;0
70630.5;1;0;0;0
70643.5;0;1;1;0
70656.5;1;0;0;0
70669.5;0;1;1;0
70682.5;4;0;0;0
70695.5;0;1;1;0
70708.5;0;3;3;0
70721.5;1;0;0;0
70734.5;0;0;0;0
70747.5;0;0;0;0
70760.5;0;1;1;0
70773.5;0;0;0;0
70786.5;0;2;2;0
70799.5;1;1;1;0
70812.5;0;0;0;0
70825.5;1;2;2;0
70838.5;0;2;2;0
70851.5;1;1;1;0
70864.5;0;1;1;0
70877.5;0;0;0;0
70890.5;0;1;1;0
70903.5;1;0;0;0
70916.5;0;2;2;0
70929.5;0;3;3;0
70942.5;0;1;1;0
70955.5;3;0;0;0
70968.5;2;0;0;0
70981.5;0;0;0;0
70994.5;0;0;0;0
71007.5;0;1;1;0
71020.5;1;2;2;0
71033.5;0;0;0;0
71046.5;1;0;0;0
71059.5;0;0;0;0
71072.5;0;3;3;0
71085.5;0;1;1;0
71098.5;1;1;1;0
71111.5;0;1;1;0
71124.5;0;0;0;0
71137.5;0;0;0;0
71150.5;0;0;0;0
71163.5;1;0;0;0
71176.5;0;2;2;0
71189.5;0;1;1;0
71202.5;0;0;0;0
71215.5;2;0;0;0
71228.5;0;0;0;0
71241.5;2;1;1;0
71254.5;1;1;1;0
71267.5;0;1;1;0
71280.5;0;1;1;0
71293.5;0;2;2;0
71306.5;0;0;0;0
71319.5;0;0;0;0
71332.5;0;0;0;0
71345.5;0;1;1;0
71358.5;0;0;0;0
71371.5;1;0;0;0
71384.5;2;1;1;0
71397.5;2;0;0;0
71410.5;0;0;0;0
71423.5;0;0;0;0
71436.5;0;0;0;0
71449.5;1;0;0;0
71462.5;0;0;0;0
71475.5;0;2;2;0
71488.5;0;0;0;0
71501.5;0;2;2;0
71514.5;0;0;0;0
71527.5;1;0;0;0
71540.5;0;1;1;0
71553.5;0;1;1;0
71566.5;0;0;0;0
71579.5;1;0;0;0
71592.5;0;0;0;0
71605.5;1;0;0;0
71618.5;0;0;0;0
71631.5;0;0;0;0
71644.5;1;0;0;0
71657.5;0;0;0;0
71670.5;1;0;0;0
71683.5;0;0;0;0
71696.5;1;0;0;0
71709.5;1;1;1;0
71722.5;1;0;0;0
