BinCenter;Histo01;Histo02;Histo03;Histo04
60006.5;3;2;2;0
60019.5;6;2;2;0
60032.5;6;3;3;0
60045.5;2;2;2;0
60058.5;3;3;3;0
60071.5;3;3;3;0
60084.5;5;0;0;0
60097.5;2;4;4;0
60110.5;3;5;5;0
60123.5;5;3;3;0
60136.5;2;2;2;0
60149.5;5;4;4;0
60162.5;0;2;2;0
60175.5;3;1;1;0
60188.5;3;2;2;0
60201.5;6;5;5;0
60214.5;3;0;0;0
60227.5;5;4;4;0
60240.5;8;3;3;0
60253.5;2;5;5;0
60266.5;3;2;2;0
60279.5;5;3;3;0
60292.5;3;1;1;0
60305.5;2;7;7;0
60318.5;2;7;7;0
60331.5;6;2;2;0
60344.5;3;5;5;0
60357.5;6;4;4;0
60370.5;4;3;3;0
60383.5;2;2;2;0
60396.5;1;5;5;0
60409.5;2;2;2;0
60422.5;1;2;2;0
60435.5;2;8;8;0
60448.5;4;2;2;0
60461.5;2;6;6;0
60474.5;3;4;4;0
60487.5;4;5;5;0
60500.5;6;3;3;0
60513.5;0;3;3;0
60526.5;2;2;2;0
60539.5;5;3;3;0
60552.5;4;5;5;0
60565.5;5;3;3;0
60578.5;4;1;1;0
60591.5;5;2;2;0
60604.5;5;5;5;0
60617.5;1;0;0;0
60630.5;2;4;4;0
60643.5;1;9;9;0
60656.5;3;4;4;0
60669.5;3;4;4;0
60682.5;3;8;8;0
60695.5;5;2;2;0
60708.5;0;3;3;0
60721.5;2;2;2;0
60734.5;2;2;2;0
60747.5;2;1;1;0
60760.5;3;3;3;0
60773.5;2;2;2;0
60786.5;5;2;2;0
60799.5;4;4;4;0
60812.5;3;5;5;0
60825.5;3;1;1;0
60838.5;1;3;3;0
60851.5;5;1;1;0
60864.5;5;2;2;0
60877.5;1;8;8;0
60890.5;0;5;5;0
60903.5;6;1;1;0
60916.5;3;3;3;0
60929.5;4;3;3;0
60942.5;5;5;5;0
60955.5;2;2;2;0
60968.5;5;3;3;0
60981.5;5;3;3;0
60994.5;6;1;1;0
61007.5;1;5;5;0
61020.5;9;2;2;0
61033.5;7;1;1;0
61046.5;5;1;1;0
61059.5;2;4;4;0
61072.5;1;4;4;0
61085.5;2;0;0;0
61098.5;2;3;3;0
61111.5;6;4;4;0
61124.5;5;3;3;0
61137.5;3;1;1;0
61150.5;1;4;4;0
61163.5;3;3;3;0
61176.5;4;3;3;0
61189.5;6;1;1;0
61202.5;4;2;2;0
61215.5;1;2;2;0
61228.5;4;6;6;0
61241.5;2;4;4;0
61254.5;3;3;3;0
61267.5;2;4;4;0
61280.5;3;3;3;0
61293.5;3;2;2;0
61306.5;1;5;5;0
61319.5;4;2;2;0
61332.5;3;2;2;0
61345.5;2;4;4;0
61358.5;2;1;1;0
61371.5;3;3;3;0
61384.5;1;1;1;0
61397.5;4;1;1;0
61410.5;3;2;2;0
61423.5;3;6;6;0
61436.5;4;8;8;0
61449.5;6;4;4;0
61462.5;1;4;4;0
61475.5;3;4;4;0
61488.5;2;3;3;0
