BinCenter;Histo01;Histo02;Histo03;Histo04
62918.5;1;1;1;0
62931.5;0;1;1;0
62944.5;5;4;4;0
62957.5;2;0;0;0
62970.5;5;0;0;0
62983.5;4;1;1;0
62996.5;10;1;1;0
63009.5;8;2;2;0
63022.5;10;2;2;0
63035.5;22;1;1;0
63048.5;20;2;2;0
63061.5;54;2;2;0
63074.5;112;3;3;0
63087.5;264;0;0;0
63100.5;590;0;0;0
63113.5;1252;3;3;0
63126.5;2207;2;2;0
63139.5;3743;6;6;0
63152.5;5670;2;2;0
63165.5;7856;4;4;0
63178.5;10160;0;0;0
63191.5;12752;1;1;0
63204.5;14630;2;2;0
63217.5;16325;5;5;0
63230.5;17288;3;3;0
63243.5;17811;2;2;0
63256.5;17344;3;3;0
63269.5;16501;5;5;0
63282.5;15291;4;4;0
63295.5;13711;1;1;0
63308.5;12228;1;1;0
63321.5;10291;5;5;0
63334.5;9104;3;3;0
63347.5;7532;1;1;0
63360.5;6071;3;3;0
63373.5;5121;3;3;0
63386.5;4296;0;0;0
63399.5;3486;3;3;0
63412.5;2781;1;1;0
63425.5;2391;2;2;0
63438.5;1909;5;5;0
63451.5;1597;1;1;0
63464.5;1262;0;0;0
63477.5;1079;1;1;0
63490.5;875;4;4;0
63503.5;774;4;4;0
63516.5;640;6;6;0
63529.5;598;0;0;0
63542.5;440;4;4;0
63555.5;404;3;3;0
63568.5;330;4;4;0
63581.5;284;4;4;0
63594.5;238;1;1;0
63607.5;190;5;5;0
63620.5;173;2;2;0
63633.5;163;1;1;0
63646.5;132;5;5;0
63659.5;133;4;4;0
63672.5;115;1;1;0
63685.5;111;2;2;0
63698.5;82;4;4;0
63711.5;95;5;5;0
63724.5;70;3;3;0
63737.5;52;6;6;0
63750.5;45;9;9;0
63763.5;51;6;6;0
63776.5;39;7;7;0
63789.5;51;13;13;0
63802.5;43;6;6;0
63815.5;46;9;9;0
63828.5;23;11;11;0
63841.5;22;9;9;0
63854.5;39;13;13;0
63867.5;20;9;9;0
63880.5;24;17;17;0
63893.5;23;8;8;0
63906.5;22;14;14;0
63919.5;19;21;21;0
63932.5;21;22;22;0
63945.5;17;31;31;0
63958.5;23;52;52;0
63971.5;18;88;88;0
63984.5;16;167;167;0
63997.5;16;248;248;0
64010.5;19;420;420;0
64023.5;21;742;742;0
64036.5;21;1163;1163;0
64049.5;19;1591;1591;0
64062.5;25;2248;2248;0
64075.5;17;2853;2853;0
64088.5;21;3496;3496;0
64101.5;22;4144;4144;0
64114.5;16;4688;4688;0
64127.5;29;5286;5286;0
64140.5;31;5807;5807;0
64153.5;26;6338;6338;0
64166.5;17;6838;6838;0
64179.5;25;7677;7677;0
64192.5;17;8299;8299;0
64205.5;17;9063;9063;0
64218.5;34;9751;9751;0
64231.5;23;10540;10540;0
64244.5;36;11420;11420;0
64257.5;28;11857;11857;0
64270.5;30;12104;12104;0
64283.5;32;12053;12053;0
64296.5;39;11784;11784;0
64309.5;31;11385;11385;0
64322.5;37;10734;10734;0
64335.5;34;9989;9989;0
64348.5;41;9039;9039;0
64361.5;36;8151;8151;0
64374.5;33;7035;7035;0
64387.5;35;6230;6230;0
64400.5;30;5301;5301;0
64413.5;31;4518;4518;0
64426.5;29;3879;3879;0
64439.5;30;3240;3240;0
64452.5;43;2720;2720;0
64465.5;39;2182;2182;0
64478.5;38;1830;1830;0
64491.5;40;1549;1549;0
64504.5;40;1294;1294;0
64517.5;31;1025;1025;0
64530.5;36;943;943;0
64543.5;35;776;776;0
64556.5;51;670;670;0
64569.5;55;523;523;0
64582.5;44;482;482;0
64595.5;48;454;454;0
64608.5;35;367;367;0
64621.5;43;322;322;0
64634.5;31;288;288;0
64647.5;46;243;243;0
64660.5;40;202;202;0
64673.5;37;193;193;0
64686.5;29;165;165;0
64699.5;51;146;146;0
64712.5;33;132;132;0
64725.5;43;119;119;0
64738.5;29;106;106;0
64751.5;34;100;100;0
64764.5;40;86;86;0
64777.5;33;73;73;0
64790.5;51;81;81;0
64803.5;46;69;69;0
64816.5;56;53;53;0
64829.5;49;66;66;0
64842.5;49;59;59;0
64855.5;45;51;51;0
64868.5;43;57;57;0
64881.5;52;43;43;0
64894.5;41;49;49;0
64907.5;35;36;36;0
64920.5;40;36;36;0
64933.5;41;49;49;0
64946.5;51;49;49;0
64959.5;45;43;43;0
64972.5;33;41;41;0
64985.5;45;38;38;0
64998.5;30;32;32;0
65011.5;43;45;45;0
65024.5;53;48;48;0
65037.5;35;29;29;0
65050.5;52;53;53;0
65063.5;55;28;28;0
65076.5;26;30;30;0
65089.5;34;36;36;0
65102.5;41;37;37;0
65115.5;43;45;45;0
65128.5;30;26;26;0
65141.5;31;38;38;0
65154.5;35;45;45;0
65167.5;44;37;37;0
65180.5;36;35;35;0
65193.5;30;43;43;0
