BinCenter;Histo01;Histo02;Histo03;Histo04
60006.5;12;7;7;0
60019.5;9;9;9;0
60032.5;8;9;9;0
60045.5;15;8;8;0
60058.5;11;9;9;0
60071.5;19;13;13;0
60084.5;11;11;11;0
60097.5;5;14;14;0
60110.5;9;6;6;0
60123.5;9;10;10;0
60136.5;11;12;12;0
60149.5;12;11;11;0
60162.5;11;13;13;0
60175.5;5;16;16;0
60188.5;11;10;10;0
60201.5;11;15;15;0
60214.5;12;11;11;0
60227.5;6;17;17;0
60240.5;10;16;16;0
60253.5;16;13;13;0
60266.5;15;14;14;0
60279.5;13;17;17;0
60292.5;10;15;15;0
60305.5;8;14;14;0
60318.5;17;13;13;0
60331.5;11;10;10;0
60344.5;10;19;19;0
60357.5;15;12;12;0
60370.5;10;15;15;0
60383.5;11;9;9;0
60396.5;11;11;11;0
60409.5;7;11;11;0
60422.5;11;6;6;0
60435.5;16;11;11;0
60448.5;4;10;10;0
60461.5;12;11;11;0
60474.5;9;11;11;0
60487.5;8;13;13;0
60500.5;14;10;10;0
60513.5;11;6;6;0
60526.5;11;14;14;0
60539.5;8;11;11;0
60552.5;13;9;9;0
60565.5;11;9;9;0
60578.5;10;10;10;0
60591.5;14;10;10;0
60604.5;10;12;12;0
60617.5;14;7;7;0
60630.5;11;13;13;0
60643.5;9;15;15;0
60656.5;9;14;14;0
60669.5;11;15;15;0
60682.5;14;13;13;0
60695.5;12;16;16;0
60708.5;10;13;13;0
60721.5;12;9;9;0
60734.5;7;8;8;0
60747.5;9;10;10;0
60760.5;10;11;11;0
60773.5;13;8;8;0
60786.5;11;15;15;0
60799.5;13;11;11;0
60812.5;11;14;14;0
60825.5;11;14;14;0
60838.5;5;13;13;0
60851.5;5;5;5;0
60864.5;6;13;13;0
60877.5;9;12;12;0
60890.5;10;12;12;0
60903.5;15;11;11;0
60916.5;13;11;11;0
60929.5;9;5;5;0
60942.5;10;12;12;0
60955.5;13;11;11;0
60968.5;6;8;8;0
60981.5;11;13;13;0
60994.5;12;16;16;0
61007.5;14;16;16;0
61020.5;7;11;11;0
61033.5;9;10;10;0
61046.5;15;11;11;0
61059.5;10;10;10;0
61072.5;15;8;8;0
61085.5;8;13;13;0
61098.5;15;10;10;0
61111.5;9;11;11;0
61124.5;12;9;9;0
61137.5;15;15;15;0
61150.5;11;7;7;0
61163.5;11;11;11;0
61176.5;15;10;10;0
61189.5;12;7;7;0
61202.5;7;12;12;0
61215.5;12;14;14;0
61228.5;12;9;9;0
61241.5;19;12;12;0
61254.5;11;12;12;0
61267.5;10;12;12;0
61280.5;10;14;14;0
61293.5;8;7;7;0
61306.5;18;15;15;0
61319.5;8;13;13;0
61332.5;16;12;12;0
61345.5;12;7;7;0
61358.5;14;14;14;0
61371.5;14;18;18;0
61384.5;17;7;7;0
61397.5;10;16;16;0
61410.5;12;15;15;0
61423.5;11;4;4;0
61436.5;13;9;9;0
61449.5;10;8;8;0
61462.5;12;8;8;0
61475.5;17;12;12;0
61488.5;14;6;6;0
61501.5;13;16;16;0
61514.5;14;12;12;0
61527.5;14;13;13;0
61540.5;6;9;9;0
61553.5;13;10;10;0
61566.5;11;12;12;0
61579.5;11;12;12;0
61592.5;7;5;5;0
61605.5;14;9;9;0
61618.5;15;18;18;0
61631.5;15;10;10;0
61644.5;13;11;11;0
61657.5;6;11;11;0
61670.5;3;12;12;0
61683.5;14;11;11;0
61696.5;14;12;12;0
61709.5;5;8;8;0
61722.5;8;11;11;0
61735.5;12;13;13;0
61748.5;16;13;13;0
61761.5;15;7;7;0
61774.5;8;3;3;0
61787.5;15;14;14;0
61800.5;11;8;8;0
61813.5;12;10;10;0
61826.5;10;5;5;0
61839.5;14;11;11;0
61852.5;12;14;14;0
61865.5;13;9;9;0
61878.5;10;8;8;0
61891.5;9;21;21;0
61904.5;12;8;8;0
61917.5;11;10;10;0
61930.5;15;12;12;0
61943.5;12;9;9;0
61956.5;12;13;13;0
61969.5;10;19;19;0
61982.5;8;5;5;0
61995.5;11;7;7;0
62008.5;13;12;12;0
62021.5;12;9;9;0
62034.5;15;14;14;0
62047.5;10;7;7;0
62060.5;9;18;18;0
62073.5;4;15;15;0
62086.5;7;7;7;0
62099.5;10;7;7;0
62112.5;11;16;16;0
62125.5;12;12;12;0
62138.5;9;12;12;0
62151.5;11;13;13;0
62164.5;12;10;10;0
62177.5;15;16;16;0
62190.5;12;16;16;0
62203.5;10;9;9;0
62216.5;15;9;9;0
62229.5;10;15;15;0
62242.5;8;9;9;0
62255.5;14;13;13;0
62268.5;10;12;12;0
62281.5;14;12;12;0
62294.5;12;12;12;0
62307.5;10;8;8;0
62320.5;10;15;15;0
62333.5;14;6;6;0
62346.5;10;7;7;0
62359.5;11;15;15;0
62372.5;13;10;10;0
62385.5;14;12;12;0
62398.5;10;20;20;0
62411.5;13;16;16;0
62424.5;13;12;12;0
62437.5;11;17;17;0
62450.5;13;18;18;0
62463.5;10;8;8;0
62476.5;9;8;8;0
62489.5;13;13;13;0
62502.5;12;14;14;0
62515.5;10;10;10;0
62528.5;11;16;16;0
62541.5;8;13;13;0
62554.5;13;16;16;0
62567.5;14;5;5;0
62580.5;14;13;13;0
62593.5;12;12;12;0
62606.5;10;11;11;0
62619.5;10;9;9;0
62632.5;12;15;15;0
62645.5;4;12;12;0
62658.5;11;9;9;0
62671.5;11;13;13;0
62684.5;6;11;11;0
62697.5;8;6;6;0
62710.5;18;14;14;0
62723.5;9;13;13;0
62736.5;12;12;12;0
62749.5;10;6;6;0
62762.5;16;13;13;0
62775.5;13;8;8;0
62788.5;13;13;13;0
62801.5;17;14;14;0
62814.5;8;11;11;0
62827.5;9;12;12;0
62840.5;16;12;12;0
62853.5;13;11;11;0
62866.5;13;7;7;0
62879.5;16;11;11;0
62892.5;19;12;12;0
62905.5;26;12;12;0
62918.5;34;19;19;0
62931.5;47;8;8;0
62944.5;141;12;12;0
62957.5;348;9;9;0
62970.5;883;11;11;0
62983.5;1823;13;13;0
62996.5;2880;11;11;0
63009.5;4556;17;17;0
63022.5;5514;15;15;0
63035.5;6748;12;12;0
63048.5;7009;13;13;0
63061.5;6758;6;6;0
63074.5;6510;11;11;0
63087.5;5597;8;8;0
63100.5;4505;11;11;0
63113.5;3571;11;11;0
63126.5;2684;5;5;0
63139.5;2199;9;9;0
63152.5;1701;16;16;0
63165.5;1584;7;7;0
63178.5;1551;14;14;0
63191.5;1678;12;12;0
63204.5;1762;20;20;0
63217.5;1940;13;13;0
63230.5;2063;12;12;0
63243.5;2395;15;15;0
63256.5;2449;12;12;0
63269.5;2567;13;13;0
63282.5;2524;14;14;0
63295.5;2539;9;9;0
63308.5;2443;9;9;0
63321.5;2272;8;8;0
63334.5;2001;16;16;0
63347.5;1917;9;9;0
63360.5;1616;17;17;0
63373.5;1544;9;9;0
63386.5;1267;11;11;0
63399.5;1151;13;13;0
63412.5;1064;18;18;0
63425.5;981;14;14;0
63438.5;862;9;9;0
63451.5;765;9;9;0
63464.5;652;8;8;0
63477.5;575;13;13;0
63490.5;494;17;17;0
63503.5;476;11;11;0
63516.5;375;19;19;0
63529.5;333;14;14;0
63542.5;356;12;12;0
63555.5;309;14;14;0
63568.5;281;16;16;0
63581.5;204;16;16;0
63594.5;211;12;12;0
63607.5;195;12;12;0
63620.5;183;14;14;0
63633.5;158;18;18;0
63646.5;149;17;17;0
63659.5;155;15;15;0
63672.5;111;15;15;0
63685.5;133;21;21;0
63698.5;115;7;7;0
63711.5;113;13;13;0
63724.5;83;13;13;0
63737.5;115;23;23;0
63750.5;74;18;18;0
63763.5;80;19;19;0
63776.5;72;28;28;0
63789.5;73;20;20;0
63802.5;72;39;39;0
63815.5;73;72;72;0
63828.5;65;96;96;0
63841.5;57;132;132;0
63854.5;60;282;282;0
63867.5;59;498;498;0
63880.5;60;769;769;0
63893.5;55;1039;1039;0
63906.5;66;1391;1391;0
63919.5;63;1775;1775;0
63932.5;53;1805;1805;0
63945.5;49;1857;1857;0
63958.5;56;1875;1875;0
63971.5;56;1957;1957;0
63984.5;49;1968;1968;0
63997.5;36;2252;2252;0
64010.5;61;2447;2447;0
64023.5;52;2761;2761;0
64036.5;44;3199;3199;0
64049.5;54;3484;3484;0
64062.5;48;3812;3812;0
64075.5;45;4071;4071;0
64088.5;50;4276;4276;0
64101.5;44;4336;4336;0
64114.5;59;4242;4242;0
64127.5;40;4014;4014;0
64140.5;48;3593;3593;0
64153.5;39;3378;3378;0
64166.5;33;2959;2959;0
64179.5;41;2678;2678;0
64192.5;28;2401;2401;0
64205.5;38;2108;2108;0
64218.5;54;2033;2033;0
64231.5;31;1987;1987;0
64244.5;33;1901;1901;0
64257.5;36;1838;1838;0
64270.5;33;1942;1942;0
64283.5;33;1999;1999;0
64296.5;39;1917;1917;0
64309.5;35;1925;1925;0
64322.5;31;1879;1879;0
64335.5;39;1891;1891;0
64348.5;37;1737;1737;0
64361.5;39;1716;1716;0
64374.5;33;1498;1498;0
64387.5;41;1345;1345;0
64400.5;33;1218;1218;0
64413.5;40;1220;1220;0
64426.5;38;1046;1046;0
64439.5;28;939;939;0
64452.5;34;845;845;0
64465.5;39;763;763;0
64478.5;33;657;657;0
64491.5;31;635;635;0
64504.5;43;554;554;0
64517.5;37;539;539;0
64530.5;31;435;435;0
64543.5;29;393;393;0
64556.5;33;340;340;0
64569.5;26;299;299;0
64582.5;33;288;288;0
64595.5;29;277;277;0
64608.5;36;247;247;0
64621.5;30;186;186;0
64634.5;22;248;248;0
64647.5;26;170;170;0
64660.5;28;192;192;0
64673.5;29;174;174;0
64686.5;26;160;160;0
64699.5;36;128;128;0
64712.5;28;120;120;0
64725.5;35;120;120;0
64738.5;25;100;100;0
64751.5;27;99;99;0
64764.5;33;86;86;0
64777.5;26;86;86;0
64790.5;27;99;99;0
64803.5;24;85;85;0
64816.5;33;101;101;0
64829.5;34;76;76;0
64842.5;30;80;80;0
64855.5;28;72;72;0
64868.5;25;66;66;0
64881.5;25;67;67;0
64894.5;24;71;71;0
64907.5;26;66;66;0
64920.5;33;49;49;0
64933.5;31;59;59;0
64946.5;34;67;67;0
64959.5;27;45;45;0
64972.5;29;55;55;0
64985.5;29;46;46;0
64998.5;35;49;49;0
65011.5;33;50;50;0
65024.5;29;64;64;0
65037.5;36;62;62;0
65050.5;25;51;51;0
65063.5;23;49;49;0
65076.5;26;55;55;0
65089.5;32;54;54;0
65102.5;31;57;57;0
65115.5;36;56;56;0
65128.5;20;49;49;0
65141.5;24;48;48;0
65154.5;29;47;47;0
65167.5;27;48;48;0
65180.5;24;38;38;0
65193.5;29;46;46;0
65206.5;19;39;39;0
65219.5;29;21;21;0
65232.5;32;38;38;0
65245.5;22;41;41;0
65258.5;23;35;35;0
65271.5;29;44;44;0
65284.5;33;34;34;0
65297.5;19;33;33;0
65310.5;18;42;42;0
65323.5;20;43;43;0
65336.5;31;28;28;0
65349.5;27;38;38;0
65362.5;19;40;40;0
65375.5;26;33;33;0
65388.5;27;43;43;0
65401.5;27;31;31;0
65414.5;27;36;36;0
65427.5;27;39;39;0
65440.5;33;32;32;0
65453.5;21;38;38;0
65466.5;18;31;31;0
65479.5;23;41;41;0
65492.5;27;35;35;0
65505.5;15;36;36;0
65518.5;29;36;36;0
65531.5;25;37;37;0
65544.5;26;39;39;0
65557.5;15;28;28;0
65570.5;25;31;31;0
65583.5;17;24;24;0
65596.5;22;33;33;0
65609.5;27;32;32;0
65622.5;23;42;42;0
65635.5;32;32;32;0
65648.5;28;26;26;0
65661.5;25;25;25;0
65674.5;24;34;34;0
65687.5;25;26;26;0
65700.5;17;24;24;0
65713.5;32;34;34;0
65726.5;23;24;24;0
65739.5;23;31;31;0
65752.5;35;24;24;0
65765.5;27;19;19;0
65778.5;22;33;33;0
65791.5;25;25;25;0
65804.5;28;25;25;0
65817.5;24;44;44;0
65830.5;21;36;36;0
65843.5;25;23;23;0
65856.5;26;37;37;0
65869.5;26;32;32;0
65882.5;14;26;26;0
65895.5;32;22;22;0
65908.5;28;32;32;0
65921.5;26;34;34;0
65934.5;25;19;19;0
65947.5;18;21;21;0
65960.5;26;23;23;0
65973.5;24;37;37;0
65986.5;26;35;35;0
65999.5;25;32;32;0
66012.5;25;31;31;0
66025.5;23;33;33;0
66038.5;22;30;30;0
66051.5;21;31;31;0
66064.5;21;35;35;0
66077.5;25;26;26;0
66090.5;25;20;20;0
66103.5;19;32;32;0
66116.5;29;36;36;0
66129.5;22;24;24;0
66142.5;23;23;23;0
66155.5;27;26;26;0
66168.5;21;27;27;0
66181.5;18;30;30;0
66194.5;20;35;35;0
66207.5;24;30;30;0
66220.5;30;24;24;0
66233.5;22;24;24;0
66246.5;18;22;22;0
66259.5;17;26;26;0
66272.5;30;25;25;0
66285.5;15;17;17;0
66298.5;22;34;34;0
66311.5;22;23;23;0
66324.5;22;19;19;0
66337.5;26;18;18;0
66350.5;15;29;29;0
66363.5;22;22;22;0
66376.5;15;25;25;0
66389.5;25;25;25;0
66402.5;21;29;29;0
66415.5;22;20;20;0
66428.5;27;28;28;0
66441.5;36;23;23;0
66454.5;27;35;35;0
66467.5;20;22;22;0
66480.5;24;26;26;0
66493.5;20;29;29;0
66506.5;25;21;21;0
66519.5;25;25;25;0
66532.5;19;18;18;0
66545.5;20;20;20;0
66558.5;26;24;24;0
66571.5;17;21;21;0
66584.5;19;29;29;0
66597.5;21;27;27;0
66610.5;21;26;26;0
66623.5;23;25;25;0
66636.5;19;30;30;0
66649.5;26;20;20;0
66662.5;16;20;20;0
66675.5;19;28;28;0
66688.5;22;22;22;0
66701.5;18;19;19;0
66714.5;20;31;31;0
66727.5;14;24;24;0
66740.5;24;22;22;0
66753.5;15;23;23;0
