BinCenter;Histo01;Histo02;Histo03;Histo04
70006.5;3;3;3;0
70019.5;4;1;1;0
70032.5;1;5;5;0
70045.5;6;4;4;0
70058.5;11;9;9;0
70071.5;8;3;3;0
70084.5;5;2;2;0
70097.5;3;3;3;0
70110.5;6;4;4;0
70123.5;7;6;6;0
70136.5;7;6;6;0
70149.5;7;3;3;0
70162.5;7;7;7;0
70175.5;8;5;5;0
70188.5;6;4;4;0
70201.5;5;6;6;0
70214.5;4;6;6;0
70227.5;3;1;1;0
70240.5;10;5;5;0
70253.5;3;3;3;0
70266.5;5;5;5;0
70279.5;3;2;2;0
70292.5;4;2;2;0
70305.5;0;1;1;0
70318.5;10;9;9;0
70331.5;5;2;2;0
70344.5;8;5;5;0
70357.5;4;3;3;0
70370.5;2;7;7;0
70383.5;5;4;4;0
70396.5;2;9;9;0
70409.5;7;6;6;0
70422.5;1;9;9;0
70435.5;5;5;5;0
70448.5;3;6;6;0
70461.5;4;3;3;0
70474.5;4;7;7;0
70487.5;5;5;5;0
70500.5;2;4;4;0
70513.5;3;8;8;0
70526.5;3;5;5;0
70539.5;2;5;5;0
70552.5;6;3;3;0
70565.5;6;8;8;0
70578.5;3;5;5;0
70591.5;2;7;7;0
70604.5;8;7;7;0
70617.5;5;2;2;0
70630.5;7;5;5;0
70643.5;3;4;4;0
70656.5;3;12;12;0
70669.5;4;4;4;0
70682.5;3;2;2;0
70695.5;4;3;3;0
70708.5;4;4;4;0
70721.5;6;3;3;0
70734.5;6;6;6;0
70747.5;2;3;3;0
70760.5;2;7;7;0
70773.5;6;2;2;0
70786.5;6;3;3;0
70799.5;2;6;6;0
70812.5;7;3;3;0
70825.5;2;3;3;0
70838.5;9;3;3;0
70851.5;4;5;5;0
70864.5;4;4;4;0
70877.5;3;4;4;0
70890.5;4;9;9;0
70903.5;1;4;4;0
70916.5;4;2;2;0
70929.5;4;2;2;0
70942.5;4;2;2;0
70955.5;6;3;3;0
70968.5;7;8;8;0
70981.5;3;2;2;0
70994.5;5;4;4;0
71007.5;5;4;4;0
71020.5;4;3;3;0
71033.5;7;6;6;0
71046.5;4;3;3;0
71059.5;6;3;3;0
71072.5;5;2;2;0
71085.5;7;7;7;0
71098.5;4;4;4;0
71111.5;6;5;5;0
71124.5;4;3;3;0
71137.5;1;10;10;0
71150.5;4;2;2;0
71163.5;7;4;4;0
71176.5;2;5;5;0
71189.5;4;4;4;0
71202.5;2;3;3;0
